,GA,FGA,PA,SA,RPA@0.7,FTA,PTA,RTA,identified_templates,ground_templates
Proxifier,0.516500,0.571429,0.000000,0.487747,0.503500,0.000000,0.000000,0.000000,13.000000,8.000000
HDFS,0.997500,0.866667,0.000000,0.575855,0.122000,0.000000,0.000000,0.000000,16.000000,14.000000
Hadoop,0.949000,0.887967,0.155500,0.683507,0.448000,0.207469,0.196850,0.219298,127.000000,114.000000
Spark,0.997500,0.911765,0.209500,0.682260,0.391000,0.382353,0.406250,0.361111,32.000000,36.000000
Zookeeper,0.993500,0.923077,0.508000,0.902941,0.819000,0.557692,0.537037,0.580000,54.000000,50.000000
BGL,0.986000,0.931174,0.368500,0.737075,0.344000,0.218623,0.212598,0.225000,127.000000,120.000000
HPC,0.945000,0.854167,0.644000,0.845829,0.792500,0.437500,0.420000,0.456522,50.000000,46.000000
Thunderbird,0.687000,0.900322,0.055500,0.792857,0.623500,0.347267,0.333333,0.362416,162.000000,149.000000
Windows,1.000000,1.000000,0.160500,0.879789,0.703500,0.500000,0.500000,0.500000,50.000000,50.000000
Linux,0.419000,0.926230,0.108000,0.518643,0.197500,0.352459,0.341270,0.364407,126.000000,118.000000
Android,0.960500,0.952663,0.239500,0.718415,0.539500,0.349112,0.343023,0.355422,172.000000,166.000000
HealthApp,1.000000,1.000000,0.259500,0.960058,0.975000,0.466667,0.466667,0.466667,75.000000,75.000000
Apache,1.000000,1.000000,0.699500,0.747482,0.699500,0.666667,0.666667,0.666667,6.000000,6.000000
OpenSSH,1.000000,1.000000,0.286500,0.686450,0.427000,0.296296,0.296296,0.296296,27.000000,27.000000
OpenStack,1.000000,1.000000,0.112000,0.542056,0.256000,0.209302,0.209302,0.209302,43.000000,43.000000
Mac,0.942000,0.901849,0.348500,0.776744,0.671500,0.330014,0.320442,0.340176,362.000000,341.000000
Average,0.899594,0.914207,0.259688,0.721107,0.532062,0.332589,0.328109,0.337705,90.125000,85.187500
